,document,summary
135,"The hashtag #penuriecarburantdansunfilm, which translates as ""fuel shortage in a film"", became France's top Twitter trend on Tuesday, with more than 5,000 tweets.
A strike over new labour laws is now affecting all of France's eight oil refineries.
An estimated 20% of petrol stations have either run dry or are low on supplies.
In their posts, French social media users talk about films such as Total Recall, the title of both a 1990 and 2012 science fiction film. Total is also the name of a French multinational oil and gas company.
Some users also changed film titles to reflect the shortage: Pulp Fiction was renamed Pump Friction, The Full Monty became The Fuel Monty and Mad Max: Fury Bicycle Lane replaced Mad Max: Fury Road.
American actor Vin Diesel's surname and his Hollywood blockbusters attracted particular attention, with people inventing several titles for his Fast and Furious series: Last and Furious, Pas Fast Mais Furious (translation: Not Fast But Furious), Immobile and Furious and Fuel Furious.
Others renamed 8 Mile, a semi-biographical drama staring US rapper Eminem, 0 Mile and 8 Miles a Pied (translation: 8 Miles on Foot).
American director Stanley Kubrick appeared to inspire people who posted about Fuel Metal Jacket, referring to Kubrick's 1987 film Full Metal Jacket.
2001, l'Odyssee de l'espace is the French title of Stanley Kubrick's 2001: A Space Odyssey. But Espace is also the name of minivan built by French car manufacturer Renault.
Pictures of people filling jerrycans at petrol stations led people to incorporate the term into film titles. Tom and Jerrrycan, Jerrycan Beauty and Catch Me If You Jerrycan were the result.
Another obvious target was Nicolas Winding Refn's 2011 film Drive which social media users changed to Walk and Drive Pas.
Read more about France's controversial new labour laws","French people affected by a fuel shortage that has hit a fifth of the country's petrol stations have taken to social media, changing film titles as a joke to reflect the problem."
136,"It comes a year after the bank reached a $5.6bn settlement with the US government over mortgage loans extended to US homebuyers before 2008.
Profits at its consumer banking division, the bank's largest unit, rose 5% from a year ago to $1.8bn.
Residential mortgage lending rose by 13% to $17bn.
""The key drivers of our business - deposit taking and lending to both our consumer and corporate clients - moved in the right direction... and our trading results on  behalf of clients remained fairly stable in challenging capital markets conditions,"" said Bank of America chief executive Brian Moynihan.
The bank, which has paid more than $70bn in legal expenses since 2008, said its legal costs fell for the third quarter in a row, dropping to $231m from $6bn a year earlier.
Separately, US bank Wells Fargo reported its first profits rise for three quarters, with the results helped by its acquisition of commercial loans from General Electric earlier this year.
Net income edged up 0.65% from a year ago to $5.44bn in the three months to the end of September. with revenues up 3% to $21.9bn.
However, its mortgage banking revenue fell 2.7% to $1.59bn.
Earlier this year, Wells Fargo bought a portion of GE's commercial real estate loans worth $9bn, which helped to boost profits in the latest quarter.
On Tuesday, the bank said it would buy a $30bn portfolio of commercial loans and leases from GE.",Bank of America has reported a net profit of $4.07bn (£2.65bn) for the three months to the end of September against a loss of $470m a year earlier.
137,"Media playback is unsupported on your device
4 February 2015 Last updated at 07:25 GMT
The programme follows three young people who tell their personal stories about living with grandparents who have dementia.
Dementia is a word that describes a number of symptoms which affect the way the brain thinks. People who suffer from dementia might experience memory loss, have difficulties with thinking, problem-solving or speaking. It is also a progressive disease, which means the symptoms will gradually get worse over time.
One of the stars of the show is Josh, whose granddad has been diagnosed with dementia.
He met up with Richard McCourt, one half of Dick and Dom, about how he coped when his Mum had the disease.
Josh and Richard told us more about what dementia is, and how it affected them.
You can watch the MyLife documentary called Mr Alzheimers and Me, on the CBBC channel tonight at 5:30pm.",CBBC's MyLife is back with a new documentary called Mr Alzheimers and Me.
138,"Francee, the fortunate feline, was found and saved by Campbell Baird, who came to check on construction work at his new home.
He only noticed the unfortunate cat after hearing ""meowing"" coming from the walls.
""I couldn't believe it at first,"" said Mr Baird.
He used a drill, chisel and hammer to free Francee before posting a video of the unlikely cat rescue on Facebook in an effort to track down the owner.
The video has since been shared more than 700 times and Francee has been reunited with her owner, a little shocked but uninjured from her ordeal.
According to Mr Baird, the cat got stuck in a tiny cavity space after apparently clambering a ladder to the first floor.
""The only way in would have been from above so she must've climbed up and then got stuck down in between the wall.
""It's fortunate I came up to the house or the cat would not have been found.
""It was a small cavity space in the wall. I was able to pull some of the insulation out and then I got some tools to free her,"" said Mr Baird.
""I'm just happy I was able to get the cat back home again and everything worked out OK.""
He added, with a laugh: ""My phone hasn't stopped since I posted the video. But all I wanted was to find the cat's owner and I'm glad I could do that.""",A cat in Carrickfergus was lucky to keep its nine lives after getting trapped in the wall of a partly-built house.
139,"Shamsul Arefin brought four people from his native Bangladesh to work at the Stewart Hotel near Appin in Argyll over a three year period.
His victims took out loans to pay him substantial sums for employment at the hotel. One was threatened with having his kidney removed by money lenders back home if he didn't pay his debt.
Arefin's crimes were  described as a ""clear case of modern day slavery"".
At Fort William Sheriff Court, he was found guilty of breaches of the Asylum and Immigration Act.
He carried out the crimes between 2008 and 2010. He recruited his victims by offering them jobs as chefs at his hotel.
They were told to pay him substantial sums of money which he described as a ""deposit"" in exchange for employment and a salary.
On their arrival at the hotel, their wages were reduced to a fraction of the contracted amount and they were required to work far longer hours with their duties extended beyond the kitchen.
The men told how they had to paint the hotel, clean rooms and cut and move logs in the hotel grounds in freezing winter temperatures.
Arefin threatened his victims with termination of their employment when they complained and refused to return the money they had paid him.
In one case the victim described how money lenders in Bangladesh had threatened to remove his kidney as a result of his inability to pay back what he owed.
The crimes came to light following an investigation by the UK Border Agency and the then Northern Constabulary.
Responding to Arefin's sentencing, Kath Harper, the Crown's national lead prosecutor for human trafficking, said: ""Arefin's greed had life-changing implications not just for his victims, but for their families and others who supported them.
""Human trafficking can come in many forms and as prosecutors we are committed to doing all we can do eradicate it from Scotland.""
Kevin Hyland, independent anti-slavery commissioner, added: ""The victims of these particular crimes endured exploitation and abuse many thought was a distant memory of the past.
""This is a clear case of 'modern day slavery' and I commend the bravery of the four men who gave evidence at the trial. I hope that receiving justice in the courts assists in their journey of recovery.""
Det Insp Richard Baird from Police Scotland said: ""Shamsul Arefin was driven by financial greed and held no regard for the working conditions of those in his employment.
""This was apparent by the poor condition that his victims were subject to through working long hours at no extra pay and often with substandard equipment and working supplies.
""In bringing this individual to justice we have disrupted, if not dismantled, one more illegal enterprise and hopefully saved other potential victims from inevitable suffering.""",A former hotel owner has been jailed for three years for human trafficking.
140,"The London Paramount resort on the Swanscombe Peninsula, near Dartford, would be twice the size of the Olympic Park, and include 5,000 hotel rooms and a water park.
The developers said they needed to conduct more research into traffic and environmental issues before applying for a development consent order.
If given approval, it is expected to open in 2021 instead of Easter 2020.
The planned park will have more than 50 rides and attractions based on films and TV programmes on a 900-acre brownfield site.
David Testa, chief executive of London Paramount, said: ""In light of our ongoing studies and detailed discussions with the Planning Inspectorate‎ and local authorities, we have decided to give ourselves a bit more time to....revise our submission date for the development consent order.""",The opening date of a £2bn theme park in north Kent has been pushed back.
141,"French PM Manuel Valls and US Secretary of State John Kerry said civilians were dying in Russian air strikes.
Russian PM Dmitry Medvedev said there was ""no evidence of our bombing civilians, even though everyone is accusing us of this"".
One observers' group says at least 1,015 civilians have been killed in Russian air strikes.
The UK-based Syrian Observatory for Human Rights said late last month that close to a quarter of those killed were under the age of 18.
How Putin is succeeding in Syria
Displaced Syrians struggle to survive
Syria: The story of the conflict
Russia, an ally of Syrian President Bashar al-Assad, has consistently denied hitting civilian targets and insists it is battling terrorists.
Mr Valls said his government ""respects Russia and Russia's interests"" but ""that to re-discover the path to peace, to discussion, the Russian bombing of civilians has to stop"".
Mr Kerry again accused Russia of using so-called 'dumb bombs' in Syria that do not hit precise targets. Last week, he said women and children were being killed ""in large numbers"" by Russian raids.
Mr Medvedev said Russia was ""not trying to achieve some secret goals in Syria"", adding that ""we are trying to protect our national interests"".
Their comments were made at a security conference in Munich, days after world powers agreed a deal to push for a cessation of hostilities in Syria within a week.
Agreement to try to bring about a cessation of hostilities and allow more access for humanitarian aid was reached by world powers late on Thursday in Germany, but neither the Syrian government nor the rebels were involved.
Under the plan, efforts will be made to try to make urgent aid deliveries to besieged and hard-to-reach areas in Syria. Steps will also be taken to work towards an eventual ceasefire and implementation of a UN-backed plan for political transition in Syria.
The halt will not apply to the battle against jihadist groups Islamic State (IS) and al-Nusra Front.
The tentative deal reached here in Munich to pause the fighting in Syria was always going to be a tough sell to the warring parties on the ground. Now its chances of success look even slimmer - ""Forty-nine per cent,"" said Russia's foreign minister. ""Closer to zero,"" said his British counterpart.
For much of the day the Russian and Western ministers have been trading accusations and counter-accusations as to who is to blame for the ongoing misery that is the Syrian civil war.
France, Britain and the US all accused Russia of targeting mainstream rebels and civilians with air strikes while leaving so-called Islamic State largely unscathed. Russia flatly denied this, saying most of those civilians were being besieged by rebels rather than by Assad's forces. Again, Western delegates disagreed.
So there are clearly two, diametrically opposed, versions of what is going on in Syria. That leaves little prospect of the concerted effort for peace by all parties that is so desperately needed.
Rebel groups in Syria have told the BBC they would not stop fighting because they do not believe that Russia will end its bombing campaign in support of the government.
They also reiterated their demand that President Assad be removed from power. On Friday, the president said he wanted to retake ""the whole country"" from rebels.
But US state department spokesman Mark Toner said Mr Assad was ""deluded"" if he thought there was a military solution to the conflict.
Syrian government forces, backed by Russian air strikes, have almost encircled rebels in parts of the northern city of Aleppo.
More than 250,000 people have been killed and some 11 million displaced in almost five years of fighting in Syria.
In another sign of the complexity of the conflict, reports said that on Saturday Turkish forces had shelled Kurdish militia targets in Aleppo provinces.
The Kurdish fighters had seized territory from Islamists in recent days. Turkey views the Kurdish militia as allied to the PKK group, which has a waged a campaign against Turkish security forces for decades.
On Saturday, Turkey's Foreign Minister Mevlut Cavusoglu said Saudi Arabia would send war planes to the Turkish air base of Incirlik, from where they would attack militants in Syria from the so-called Islamic State.
Saudi Arabia is already part of the international coalition against IS.
Mr Cavusoglu also said it was possible that troops from his country and Saudi Arabia might participate in a ground operation against IS forces. The US has so far ruled out a ground invasion.
Moscow has warned against any new foreign ground intervention in the country, saying such a development could even lead to a world war.
Why is there a war in Syria?
Anti-government protests developed into a civil war that, five years on, has ground to a stalemate, with the Assad government, Islamic State, an array of Syrian rebels and Kurdish fighters all holding territory.
Who is fighting whom?
Government forces concentrated in Damascus and the centre and west of Syria are fighting the jihadists of Islamic State and al-Nusra Front, as well as less numerous so-called ""moderate"" rebel groups, who are strongest in the north and east. These groups are also battling each other.
How has the world reacted?
Iran, Russia and Lebanon's Hezbollah movement are propping up the Alawite-led Assad government, while Turkey, Saudi Arabia and Qatar back the Sunni-dominated opposition, along with the US, UK and France. Hezbollah and Iran are believed to have troops and officers on the ground, while a Western-led coalition and Russia are carrying out air strikes.","Pressure is increasing on Russia over civilian deaths in Syria, with France and the US urging greater caution."
142,"Lifelong fan Hearn sold the club to the Italian for £4m in July 2014.
This week the club was served with a winding-up petition from Revenue & Customs for non-payment of tax, with a High Court hearing set for 20 March.
""Looking where we are now, I would never have sold if I had thought this was going to happen,"" Hearn said. ""Hindsight is a wonderful advisor.""
He told BBC Radio 5 live: ""At the time I thought it was perfect for everybody - fans, myself, the club.""
Hearn, who was Orient chairman for 19 years, said when the takeover was completed, he and fans were ""pretty certain"" that Becchetti, who made a fortune in waste management and recycling, would prove to be a good owner.
""He had a very engaging personality,"" the 68-year-old said. ""He seemed passionate about what he wanted to do, and he has done what he told me he was going to do - he has injected many, many millions of pounds into Leyton Orient.
""It is just that putting the money in, and spending it wisely are not always the same things.""
A meeting of the Leyton Orient Fans' Trust (Loft) on Thursday night agreed on what the group calls ""a last-resort measure"" to try to save the relegation-threatened club.
Should Becchetti not pay the tax bill before the court date, then at the winding-up hearing the fans would seek the appointment of an administrator, despite the fact it would mean the club being deducted 12 points under English Football League rules.
An administrator would then look to sell the club as a going concern to a potential new owner.
""That application would be made as late as possible to give the club's current owner time to settle the bill,"" said Loft spokesman Tom Davies.
However, he added that should an adjournment of the court hearing provide a more stable course and future for the club, then they would favour an adjournment.
In addition, Loft has launched a crowd funding page to try to raise £250,000 - reportedly the tax sum owed by the club.
Loft also want to meet Hearn, still the chairman of World Snooker, to discuss its plans for saving the club.
""I have been a bit critical of fans' trusts in the past up and down the country. Some of them have worked, but some of them have been abysmal failures,"" he said.
""But I think they should be encouraged and applauded for looking at the situation. It comes down to what plan they have in their mind, what is the sustainability of the club within that plan and what management, because it is all about management.""
Hearn still owns Orient's Matchroom Stadium. But for that, he believes it could have been sold for redevelopment.
""Fortunately Leyton Orient have got a 20-year lease on the ground, with another 20-year option. I did it on purpose because I could never be 100% sure where I was selling,"" he added.
""I kept the ground to make sure it wasn't used for the wrong reasons - that it wasn't the wrong reasons for buying a football club. Thank goodness I kept it because I would imagine now, with the situation it is, developers would be knocking on the door tomorrow.""
When asked by BBC Sport, Leyton Orient declined to respond to Hearn's remarks or comment on Loft's proposals.",Former Leyton Orient owner Barry Hearn says he now regrets selling the club to businessman Francesco Becchetti.
143,"In the press release for the new record The Systems Are Failing, the musician writes: ""We're destroying the world, and we're still miserable. Fat, sick, stupid and anxious are no ways to live.
""These systems are failing. Let them fail. Change or die.""
What makes this different from a Moby album?
I think a lot of people think of me as making sort of down-tempo quiet, electronic living room music and this record is much more of a fast, aggressive post-punk record and, based on the reactions I've had so far, people have been a little nonplussed at that.
What reactions specifically? Do people think you're crazy or are they applauding a brave new direction?
Both in equal measure, part of what led me to want to make a record like this, is the awareness that people don't really buy records any more and people especially don't buy records from 51-year-old musicians who are making their 15th record, so with those two things in mind there's also a sense of emancipation that comes with that.
You can either bemoan the fact that, in 2016 the audience for albums is quite small, but I see it as being really liberating because there's no external pressure at all. I'm not trying to sell records, I'm not trying to get on the radio, I'm honestly just trying to make a record that excites me and that I think is interesting.
You've been very commercially successful and some might say that puts you in the privileged position of not having to worry about it.
Yes and it would be hard for me to argue that. I would feel absurdly presumptuous criticising anyone else's choices, there are a lot of musicians who have children or alimony payments or sick relatives, so they need to make commercial compromises in order to pay the rent. I'm lucky because I live a relatively simple life and I can make whatever music I want to make without any worry about any commercial ramifications.
In your mission statement for this project you state: 'When some of my middle-aged compatriots try to accommodate the pop market place, the results are so anodyne and depressing'. Did you have someone specific in mind?
I did have people in mind but, in the interest of avoiding public feuds, I can't even begin to name names because in the course of my life, whenever I've criticised a fellow musician, it has ended up being something that I have truly regretted. But the truth is that a majority of musicians as they age don't do so in a graceful way. What I mean by that is, I understand that as you age, you want to hold on to your glory days and for most musicians that was decades ago, so you find yourself dressing the same way and touring and taking out your contact lenses so the audience will be blurry and look bigger than it is.  If I don't have to go down that route, I'd just as soon not.
But your album Play was the first album to have every track licensed to advertisers - if a corporation came to you now and asked to use Don't Leave Me from the new album - what would you do?
I have a feeling that on my death bed the last question someone asks me before I die will be about licensing music to advertisements. At this point, most of what I do and I hesitate to say this because it does sound a little self-aggrandising but it's sincere, is that most of the work I do now is non-profit.
I own a restaurant in LA and 100% of the profits goes to animal welfare charities and my only show this year is a fundraiser for an animal rights group. I don't mean that in a self-congratulatory way, I just mean my criteria has changed. How do my choices benefit the causes that I care about? So, if an advertiser came to me with a dump truck full of money to license a song, I would probably say ""yes"" and simply direct the dump truck to one of the organisations I work with.
I've always tried to employ that ethos when it comes to advertising,  like ""rob from the rich and give to the poor"" or, more accurately, ""take from corporations and give to those who work against those corporations"". But even when I was being crucified for that, I really didn't want to talk about it because it seemed defensive. It made me uncomfortable trying to justify myself even if there was justification there.
With that and the Pacific Void manifesto, it sounds like you're having a conscientious mid-life crisis but, instead of buying a sports car, you're trying to right the world's wrongs.
I've always been potentially an annoying, opinionated loudmouth. I was raised by very active hippies with an idea that whatever you do, in so far as you can, you should try and make the world a better place. Again, I can't be so presumptuous to say I am making it a better place but at least I want to try. There's so much, especially in the public arena, of this shameless, endless self-promotion that it just makes me nauseous.
I don't want to be like them, there are too many horrifying pressing issues. Just putting out a new fashion line or lending your name to a perfume company would be fine if the world wasn't an inch away from catastrophe.
Is this your main creative drive now or will you go back to recording under Moby?
I made a record about two years ago that was very choral and so I used the name The Void Pacific Choir, which is a DH Lawrence quote because I liked it, but I scrapped the album and then started work on this one but I kept the name. But the truth is that it's me on my own so if I go back and record something under my name, it all seems kind of arbitrary to me.
Do you intend on touring the new album?
Dear God no. It's another thing that's emancipating . Most musicians put out a record with the intent of touring and my intention is to never tour again as long as I live because I hate touring. I love playing music but going to the same airports and the same hotels and the law of diminishing returns, as you age you play smaller venues and you try and play new songs but the audience just want to hear the hits which I understand because when I go to see middle-aged musicians, I want to see the hits.
But if I never ever go on tour again, I would be very happy.
Have you said everything you need to with this album?
I've already made the follow-up record, I'm just trying to figure out when my record label will let me release it. Part two is all ready to go but clearly record companies don't love middle-aged musicians who refuse to tour, so I can't be too haughty and high-handed with them. I have to rely on their good graces.
The debut album by Moby & The Void Pacific Choir is released 14 October 2016.
Follow us on Twitter @BBCNewsEnts, on Instagram at bbcnewsents, or if you have a story suggestion email entertainment.news@bbc.co.uk.",Electronic producer Moby has returned with a new project and pseudo-political manifesto Moby and the Pacific Void Choir.
144,"The Bacc was introduced about a decade ago to offer a more rounded education.
Researchers at Cardiff University found students were 15% less likely to achieve a first or 2:1 degree.
The Welsh government said the Bacc will be more rigorous from September 2015, and it will address many findings in the report, which it commissioned.
The Welsh Bacc brings together traditional qualifications like GCSEs and A-levels with the Bacc ""core,"" comprised of a range of modules including team enterprise activities, community participation and Wales' place in Europe and the world.
There are currently more than 78,000 learners registered on Welsh Baccalaureate courses studying at more than 250 schools and other institutions.
""Participation and progress are kind of connected,"" Prof Chris Taylor from Cardiff University, a co-author of the report, told BBC Radio Wales.
""On the one hand you'll find that students are significantly more likely to get into university with the Welsh Baccalaureate. Crucially, they are more likely to get into a leading Russell Group university, which is very good news.
""However that seems to come at the expense then in terms of their successes of degree outcomes.
""Although we find significant results, it does appear that students without the Welsh Baccalaureate are more likely to get a first or a 2:1.""
He added: ""The number of students who are not likely to get a good degree isn't as significantly as large as we first thought.""
Prof Taylor said the Welsh Bacc's success in terms of getting students into university ""far outweighs"" the disadvantages found in terms of their results.
But he said: ""We do make the recommendation that it could be more challenging. It could be more tailored to the particular needs of the students in terms of their choice of subjects at university they're going to study.
""We also recognise there needs to be greater support for the qualification because it has some added value.
""There are clearly some benefits to some students in terms of essay writing skills, in terms of time management and independent learning that most other qualifications don't offer.
""But it doesn't translate in terms of degree results and that may be because it's at the expense of subject knowledge which is missing.""
""On the one hand it's a core qualification that every student should undertake and it provides a set of core skills that everybody like employers, labour markets and higher education universities can understand is there but at the same time it's got to be challenging, got to be tailored to the individual needs of students.
""That challenge is very difficult for sixth forms and FE colleges.""
Last year, a study by the Welsh Institute of Social and Economic Research, Data and Methods (WISERD) also suggested undergraduates completing the Welsh Bacc fare less well at university than those who have not.
The Welsh government said the research by Cardiff University was commissioned to help with the development of the Welsh Bacc.
A spokesperson added: ""Our independent review of qualifications addressed many of the findings in the WISERD report, and we are already taking action to deliver the review's recommendations regarding the Welsh Baccalaureate.
""As a result, we are working towards delivering a more rigorous Welsh Baccalaureate to be taught from September 2015.
""This will provide further assurance to higher education institutions about the ability of Welsh Baccalaureate learners and will help university admissions tutors make offers to prospective learners.""","University students who studied the Welsh Baccalaureate are less likely to get higher degrees than those who did not, a report suggests."
145,"The 14-time major champion, who has twice undergone surgery during 15 months out, is nine shots off the pace set by fellow American JB Holmes.
Woods, 40, had four birdies in eight holes but he bogeyed the ninth after a wayward drive and poor chip.
Another shot went on the 11th, while double bogeys on the 16th and 18th left the world number 898 a stroke over par.
Woods said he ""felt pretty good"" and ""looking forward to the next few days"" after completing his round at the event he hosts to benefit his charitable foundation.
""I hit the ball in three bushes and the water, so it could have been something really good,"" he said on Sky Sports.
""I got off to a solid start but then I made a few mistakes. I didn't play the par fives particularly well. ""I had some awkward shots.  If you drive great you can take advantage of this golf course, but if you don't you can end up in bushes or rocks and go sideways.""
His first double bogey came after he pulled his approach to the green from the centre of the 16th fairway and was forced to chip out short of the green. He over-hit his fourth and two putted from the back edge for a six.
Woods then pulled his drive on the par-four 18th into a lake and although he hit the pin with his fourth shot, he two-putted from 12 feet for the fourth six of his round.
He had briefly tied for the lead at four under after a run of three birdies from the sixth hole as he played the first nine holes in three-under-par 33.
And although he cancelled out his bogey on the 11th with a birdie on the 15th, his two late double bogeys blotted an otherwise encouraging round.
Holmes leads the 18-man event after an eight-under-par 64 that featured seven birdies and an eagle.
Japan's Hideki Matsuyama is a shot further back on seven under, with US Open winner Dustin Johnson on six under.
Open champion Henrik Stenson, American Matt Kuchar and South Africa's Louis Oosthuizen finished the first round tied for fourth on five under.
England's Olympic champion Justin Rose, playing his first event after a seven-week break, props up the field on two over.
Media playback is not supported on this device",Tiger Woods hit a one-over-par 73 on his return to competitive golf at the Hero World Challenge in the Bahamas.
146,"Shaun Murphy, 38, died in hospital after was he was found injured in Greenbrow Road, Wythenshawe on Saturday.
A 23-year-old man is in custody for questioning, Greater Manchester Police said.
Det Ch Insp Jane Higham said: ""This investigation is still in it's early stages and we are continuing to follow a number of lines of inquiry.""","A man has been arrested on suspicion of murder after a fatal stabbing in Manchester, police have said."
147,"Its leader, Heinz Christian Strache, said the way postal votes were handled was among numerous irregularities.
""We are not sore losers,"" he said. ""This is about protecting the foundations of democracy.""
The party's candidate was defeated by the former Green Party leader by just under 31,000 votes.
The filing of the challenge was confirmed by Christian Neuwirth, a spokesman for Austria's constitutional court.
The court now has four weeks to respond. If it takes the full four weeks, its findings will come just two days before the poll winner, Alexander Van der Bellen, is due to be sworn in.
Is Europe lurching to the far right?
Europe's nationalist surge, country by country
Is populism a threat to Europe's economies?
The presidency is a largely ceremonial post, but a victory for the Freedom Party could have been a springboard for success in the next parliamentary elections, scheduled for 2018.
Correspondents say the legal challenge threatens to renew divisions created by the vote, which split Austria and exposed, once again, deep differences in Europe over how to deal with the migrant crisis, the economy and how to balance national interests against those of the EU.
Mr Van der Bellen was declared the winner of the election the day after voting, with 50.3% of the vote against Mr Hofer's 49.7% - despite preliminary results placing the Freedom Party's Norbert Hofer slightly ahead.
But the Freedom Party is alleging numerous irregularities in its 150-page submission to the constitutional court.
Mr Strache says he has filed evidence that postal ballots were illegally handled in 94 of 117 district election offices, reports said, suggesting that more than 570,000 ballots could have been affected by this.
The party also claims it has evidence that under-16s and foreigners were allowed to vote.
""The extent of irregularities is more than terrifying. That's why I feel obliged to challenge the result,"" Mr Strache told a news conference.
""You don't have to be a conspiracy theorist to have a bad gut feeling about this whole election. Without these irregularities Mr Hofer could have become president.""
The BBC's Bethany Bell in Vienna says that if the constitutional court accepts the evidence presented by Mr Strache, there could be several possible outcomes, including a partial recount or a fresh vote in affected areas.
But the court will have to decide whether the law was broken and whether any possible breaches would have affected the outcome of the election.","Austria's far-right Freedom Party has lodged a legal challenge to the result of last month's presidential election, which it lost by a tiny margin."
148,"The report suggested splitting the current role, as both head of the legal system and president of the States.
Political expert Dr Adrian Lee said the dual role was unique to the islands.
He said they were the only democratic jurisdictions in the world where the person judging a case had been involved in making the law.
The Carswell Committee, which authored the report, suggested Jersey's Bailiff should step down as president of the States of Jersey and be replaced by an elected speaker.
Lord Carswell said: ""There are various international constitutional documents, which rather frown on the idea of judges having anything to do with the legislator.""
He said there was also a practical reason, as in recent years the Jersey Bailiff had had to spend increasing amounts of time on States work.
Dr Lee, a former professor of politics at Plymouth University, said: ""The Carswell Committee also made the point that as the two islands increasingly develop their international personalities, as they're called, it's important that their legal systems and political systems are clear to the outside world.
""At the moment there is some lack of clarity over who is speaking on behalf of, who's representing the island - is it the chief minister, the Lieutenant Governor, the Bailiff or is it all three?""
A spokesperson for Guernsey's Policy Council said it would watch the developments in Jersey with interest.
Guernsey States Assembly and Constitution Committee said it intended to discuss the report at a meeting next week.
The dual role of both bailiffs came under the spotlight after Sark decided to spilt the role of seneschal, who was both chief judge and president of Chief Pleas, in October following pressure from outside of the island.",The role of Guernsey's Bailiff could be reviewed in the wake of a report looking at the dual responsibilities of the office in Jersey.
149,"The Syrian Observatory for Human Rights said rebels fired hundreds of rockets and shells into at least seven government-held areas late on Thursday.
By Friday morning, they had made small advances, the monitoring group added.
But the Syrian state news agency Sana said the assault had been repelled and more than 100 ""terrorists"" killed.
Aleppo, once Syria's commercial and industrial hub, has been divided roughly in half between government-held areas in the west and rebel-controlled eastern quarters for almost three years.
Fighting on the ground and government air strikes have left thousands dead, and destroyed more than 60% of the Old City, a Unesco World Heritage site.
But in recent months, the rebels have driven government forces out of several areas in the countryside to the north, as well as almost all of the neighbouring province of Idlib.
More than 230,000 people are believed to have been killed in Syria since the uprising against President Bashar al-Assad began in March 2011. Some 11.5 million others - more than half of the country's population - have fled their homes.
Rebels have made numerous attempts to seize key installations held by the government, but with little effect.
On Thursday, 13 Islamist fighting groups and al-Nusra Front, al-Qaeda's affiliate in Syria, came together to launch a co-ordinated assault on several fronts.
A statement said the aim of the new coalition, called Ansar al-Sharia (Partisans of Islamic Law), was ""the liberation of Aleppo and its countryside"", after which they would work with other groups to govern the city according to Islamic law.
Western-backed groups also said they were taking part in the offensive, organised through a joint operations room called Fatah Halab (Conquest of Aleppo), the New York Times reported.
The rebels launched simultaneous attacks on western districts of the city controlled by government forces, firing hundreds of rockets and shells, the Syrian Observatory reported.
The offensive unleashed on government-held western Aleppo by Ansar al-Sharia seems to be the most serious since the battle for Aleppo began.
An early test of its prospects will be one of the first apparent objectives - the loathed and feared Air Force Intelligence headquarters in Zahra, on the western edge of the city. Rebels have tried many times to capture it, and failed.
The offensive has been building up for some time, following the capture of Idlib by a newly-coalesced rebel alliance, Jaish al-Fatah (Victory Army), in March.
What's making the difference is that rebel groups, and their outside backers like Turkey, Qatar and Saudi Arabia, which were competing in the past, now seem to be pulling together - bad news for the regime.
The success of the new campaign may depend on whether Damascus is seriously determined to hang on to Aleppo. If it is, rebel progress will be slow and hard.
The UK-based group said the fighting continued into the early hours of Friday and was focused on the frontline in Zahra, a heavily-defended area that houses several major security compounds.
At least nine people were killed and dozens wounded by the rebel barrage, it added.
The military responded with a heavy aerial and artillery bombardment of rebel positions in the city, and the fighting continued for several hours.
On Friday morning, military sources told Sana and Reuters news agency that the assault had been repelled and that heavy casualties had been inflicted on the rebels.
The Syrian Observatory said the rebels had managed to seize some buildings in the north-western outskirts of Aleppo, but that the gains were not of strategic importance.
The BBC's Jim Muir in Beirut says that if the rebels do manage to capture all Aleppo, it would be a huge blow to the government.
There have been persistent reports in recent weeks that it is preparing to give up both the northern city, and Deraa in the south, the better to defend the core areas of western Syria with the limited manpower at its disposal, he adds.
But state media reported that the prime minister has just been in Aleppo, visiting front-line units and dispensing large amounts of cash to the city authorities for reconstruction and administrative expenses.",The Syrian military has carried out a series of air strikes after rebel forces launched a major assault to take control of the northern city of Aleppo.
150,"The 58-year-old, whose films include Blue Velvet and Wild At Heart, showcased her directorial debut at the German event in 2008.
Festival director Dieter Kosslick called her ""a multi-faceted, creative film artist"".
The 2011 festival is due to take place from February 10-20.
Other members of the panel, who will decide prizes including the main Golden Bear, have yet to be announced.
This year's judging panel was led by film director Werner Herzog.
Rossellin, the daughter of Italian film director Roberto Rossellini and movie star Ingrid Bergman, is the director of Green Porno - a series of short films on animal sexual behaviour.","Actress and film-maker Isabella Rossellini to chair the jury at next year's Berlin Film Festival, organisers have announced."
